Фастидио (модный танец)|Танец заключается в специфических движениях отдельными частями тела с одной линейной скоростью, отдельными частями могут выступать всё тело, конечности и вовсе отдельные мускулы. Умение исполнения танца заключается в высоком контроле своего тела, чтобы двигать мышцами лица с той же скоростью что и потом вращаться всем телом.
Технология телепортации|Физическое оправдание существования телепорта - прокол пространства между кабинками воздействием поля Геллера на стабильную червоточину, примерно мгновенно переносящую из ближайшей кабинки в удалённую. Со стороны перемещение выглядит окутыванием перемещаемых фигур синим туманом и растворение их в воздухе. Появление идёт в обратном порядке. Из-за остаточной наэлектризованности удалённой кабинки после получения не рекомендуется перемещать включенные незащищённые электроприборы и перемещаться в намагничиваемой одежде.
Агентство "Сингулярность сердец"|“Совместимость 99,9%” - слоган компании.
Агентство обеспечивает начало отношений для представителей различных разумных рас, в том числе юридические, романтические и контакты третьего рода. Существует на протяжении 120 стандартных галактических лет, 9 стандартных лет назад был основан филиал на орбите руин Рататоска.
The Ermanrok base.|The Ermanrock Lizard Base is an elaborate heated structure of machines and sheets of iron, built in the field and hastily. For the most part, it is a house surrounded by moats, and founded solely for survival and defense in harsh weather conditions of the northern territory of the Cat State, near the Ice Palace of the town of Izh-Inta.
Small cat settlement.|The Shudya settlement was founded by the ancient Shudya clan and is the southernmost in the United Cat Tribes. Surrounded by rare woods, the cozy farming village is nestled near the banks of the Vyatka River. Behind the village are acres of farm fields with a variety of crops. The fields are irrigated thanks to an intricate canal system that the locals have extended in all directions from the river.
Protocol-Z37.|Protocol-Z37: I, Julios Ortnicki, scout of the third cohort of Aliev, conducted a survey of Fort G-3, called "Ice Palace" by the locals. Based on local accounts and, more importantly, spectral analysis, we can conclude that the heating takes place thanks to the location of hot springs and cavity networks in the walls.
Protocol-Z39.|Protocol-Z39: I am Bucellaria of "TDC", my name is Ulrich Stormbringer. After talking to the prisoners, I found out that Fort G-3, referred to locally as the "Ice Palace", was built by the so-called "first ones". According to the legends they possessed magic, but with barely any analysis it was clear that some form of advanced technology was used to build it, from which I conclude that some locals may possess them or the territory contains means of production beyond the primitives' grasp.
A cats' trade center.|Vyatskk, a feline settlement, is larger than the neighboring Shudya. It is a rich trading town, surrounded by woods and standing on the Vyatka River. The main government building, homes of local residents, and a shaman's temple are located behind tall wooden palisades. The temple became the religious center for all inhabitants of the Association of Cat Tribes.
Territory Assimilation Committee.,"TDC" - Territory Development Committee - The goals of this organization include, in addition to initial exploration and consolidation, the search for valuable resources ranging from minerals to the local population.
3rd cohort composition.|Third cohort of aliev serves the "TDC" and includes: 3 Themes of Cataphractarii, 6 Themes of Trapezit. So does the seventh cohort of stratiots, which include: 4 Themes of Scutatii, 6 Themes of Psil and approximately 40 associations of Bucellarii.
